20;20;;;;;;;;;;;;;;;;;;
17;19;;;;;;;;;;;;;;;;;;
0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2
5;14;14;13;14;9;14;14;14;14;9;13;14;13;13;13;13;14;13;7
5;14;14;13;13;9;14;14;14;14;9;13;13;13;14;13;14;13;13;7
5;13;13;13;13;9;14;14;14;14;9;14;14;6;6;8;6;6;9;7
5;13;13;13;13;6;8;14;14;8;6;13;13;8;13;14;13;13;13;7
5;13;13;14;13;13;13;13;13;13;13;13;13;9;13;13;14;13;13;7
5;13;13;13;13;13;13;14;13;13;13;14;13;6;14;13;13;13;13;7
5;13;14;13;13;14;13;13;14;13;13;13;13;8;13;13;13;14;13;7
5;13;13;14;13;13;13;13;13;13;14;13;14;13;14;13;14;13;13;7
5;8;8;8;8;13;13;13;13;14;13;13;13;13;13;13;13;13;13;7
5;13;13;13;13;13;13;13;13;13;13;14;13;13;14;13;13;13;13;7
5;13;13;13;14;13;13;13;14;13;13;13;13;13;13;13;13;13;14;7
5;13;13;13;13;6;13;13;13;13;13;13;13;13;14;13;13;13;13;7
5;13;14;13;13;9;13;14;13;13;13;13;14;6;14;6;6;9;6;7
5;13;13;13;13;6;13;13;13;13;13;13;13;6;14;13;13;14;13;7
5;13;13;13;13;6;13;13;13;14;13;13;14;6;13;13;13;13;13;7
5;13;14;13;13;8;14;13;13;13;13;14;13;8;13;13;13;13;13;7
5;13;14;14;13;6;13;13;13;13;14;13;13;6;13;13;13;13;14;7
5;14;13;13;14;6;13;13;14;13;13;13;13;8;14;13;14;13;13;7
10;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;13;11;12
hacker;1;1;;;;;;;;;;;;;;;;;
cafe;1;7;;;;;;;;;;;;;;;;;
cafe;1;8;;;;;;;;;;;;;;;;;
bug1;1;15;;;;;;;;;;;;;;;;;
cafe;1;18;;;;;;;;;;;;;;;;;
cafe;4;17;;;;;;;;;;;;;;;;;
bug;6;17;;;;;;;;;;;;;;;;;
bug;6;7;;;;;;;;;;;;;;;;;
cafe;7;9;;;;;;;;;;;;;;;;;
bug;11;14;;;;;;;;;;;;;;;;;
cafe;11;18;;;;;;;;;;;;;;;;;
cafe;12;2;;;;;;;;;;;;;;;;;
portaTrancada;14;13;chave;1;17;;;;;;;;;;;;;;
cafe;14;17;;;;;;;;;;;;;;;;;
bug;15;14;;;;;;;;;;;;;;;;;
bug;16;4;;;;;;;;;;;;;;;;;
bug;16;7;;;;;;;;;;;;;;;;;
virus;16;18;;;;;;;;;;;;;;;;;
cafe;17;10;;;;;;;;;;;;;;;;;
portaTrancada;17;19;chave;18;1;;;;;;;;;;;;;;
cafe;18;14;;;;;;;;;;;;;;;;;
virus;18;16;;;;;;;;;;;;;;;;;
