20;20;;;;;;;;;;;;;;;;;;
9;19;;;;;;;;;;;;;;;;;;
0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2
5;14;14;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;7
5;14;14;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;7
5;13;13;6;6;13;13;13;8;8;14;8;13;13;13;6;6;13;13;7
5;13;13;6;6;13;13;13;9;13;13;9;13;13;13;6;6;13;13;7
5;13;13;13;13;13;13;13;9;13;13;9;13;13;13;13;13;13;13;7
5;13;13;13;13;13;13;13;9;13;13;9;13;13;13;13;13;13;13;7
5;13;13;6;6;13;13;13;9;13;13;9;13;13;13;6;6;13;13;7
5;13;13;6;6;13;13;13;9;13;13;9;13;13;13;6;6;13;13;7
5;13;13;13;13;13;13;13;9;13;13;9;13;13;13;13;13;13;13;7
5;13;13;13;13;13;13;13;9;13;13;9;13;13;13;13;13;13;13;7
5;13;13;6;6;13;13;13;9;13;13;9;13;13;13;6;6;13;13;7
5;13;13;6;6;13;13;13;9;13;13;9;13;13;13;6;6;13;13;7
5;13;13;13;13;13;13;9;9;13;13;9;9;13;13;13;13;13;13;7
5;9;9;9;9;9;9;9;14;13;13;14;9;9;9;9;9;9;9;7
5;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;7
5;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;7
5;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;7
5;14;13;13;13;13;13;13;13;13;14;13;13;13;13;13;13;13;14;7
10;11;11;11;11;11;11;11;11;13;11;11;11;11;11;11;11;11;11;12
hero;1;1;;;;;;;;;;;;;;;;;
portaTrancada;10;3;chave;18;13;;;;;;;;;;;;;;
bug;18;4;;;;;;;;;;;;;;;;;
virus;9;6;;;;;;;;;;;;;;;;;
cafe;17;8;;;;;;;;;;;;;;;;;
bug;6;10;;;;;;;;;;;;;;;;;
cafe;12;10;;;;;;;;;;;;;;;;;
virus;10;11;;;;;;;;;;;;;;;;;
cafe;8;14;;;;;;;;;;;;;;;;;
cafe;11;14;;;;;;;;;;;;;;;;;
bug;2;15;;;;;;;;;;;;;;;;;
bug;17;15;;;;;;;;;;;;;;;;;
cafe;4;18;;;;;;;;;;;;;;;;;
cafe;15;18;;;;;;;;;;;;;;;;;
portaTrancada;9;19;chave;1;13;;;;;;;;;;;;;;
