20;20;;;;;;;;;;;;;;;;;;
11;15;;;;;;;;;;;;;;;;;;
0;1;1;1;1;1;1;2;-;-;-;-;0;1;1;1;1;1;1;2
5;13;14;13;13;14;13;7;-;-;-;-;5;13;14;13;13;14;13;7
5;14;13;14;13;14;13;10;1;1;1;6;12;14;13;14;13;14;13;7
5;13;13;13;14;13;14;13;13;13;14;13;13;13;13;13;14;13;14;13
5;14;13;13;14;13;13;0;11;11;11;11;2;14;13;13;14;13;13;7
5;13;14;13;14;13;14;7;-;-;-;-;5;13;14;13;14;13;14;7
5;13;13;14;13;13;13;7;-;-;-;-;5;13;13;14;13;13;13;7
10;11;11;11;11;11;11;12;-;-;-;-;10;11;11;2;13;0;11;12
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;13;7;-;-
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;14;7;-;-
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;13;7;-;-
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;13;7;-;-
0;1;1;1;1;1;1;2;-;-;-;-;0;1;1;12;14;10;1;2
5;13;14;13;13;14;13;7;-;-;-;-;5;13;14;13;13;14;13;7
5;14;13;14;13;14;13;10;1;1;1;6;12;14;13;14;13;14;13;7
5;13;13;13;14;13;14;13;13;13;14;13;13;13;13;13;14;13;14;7
13;14;13;13;14;13;13;0;11;11;11;11;2;14;13;13;14;13;13;7
5;13;14;13;14;13;14;7;-;-;-;-;5;13;14;13;14;13;14;7
5;13;13;14;13;13;13;7;-;-;-;-;5;13;13;14;13;13;13;7
10;11;11;11;11;11;11;12;-;-;-;-;10;11;11;11;11;11;11;12
hero;1;1;;;;;;;;;;;;;;;;;
bug;2;6;;;;;;;;;;;;;;;;;
bug;6;4;;;;;;;;;;;;;;;;;
cafe;1;6;;;;;;;;;;;;;;;;;
cafe;6;1;;;;;;;;;;;;;;;;;
portaTrancada;3;7;chave;6;6;;;;;;;;;;;;;;
portaTrancada;3;12;chave;3;11;;;;;;;;;;;;;;
virus;18;1;;;;;;;;;;;;;;;;;
cafe;1;13;;;;;;;;;;;;;;;;;
cafe;6;13;;;;;;;;;;;;;;;;;
portaTrancada;7;16;chave;6;18;;;;;;;;;;;;;;
portaTrancada;12;16;chave;11;16;;;;;;;;;;;;;;
virus;18;18;;;;;;;;;;;;;;;;;
virus;16;13;;;;;;;;;;;;;;;;;
cafe;13;13;;;;;;;;;;;;;;;;;
cafe;13;18;;;;;;;;;;;;;;;;;
cafe;18;16;;;;;;;;;;;;;;;;;
portaTrancada;15;12;chave;18;13;;;;;;;;;;;;;;
portaTrancada;15;7;chave;15;8;;;;;;;;;;;;;;
erro;17;1;;;;;;;;;;;;;;;;;
cafe;18;1;;;;;;;;;;;;;;;;;
cafe;13;1;;;;;;;;;;;;;;;;;
portaTrancada;16;0;chave;15;1;;;;;;;;;;;;;;
